unix,low,high,open,close,volume,date,vol_fiat
1633478400,50416.01,55757.11,51499.77,55339.48,25869.64925998,2021-10-06,1431612937.829678
1633392000,49057.18,51906.23,49244.13,51493.99,17828.59726658,2021-10-05,918065609.3592979
1633305600,46916.7,49505.0,48233.99,49245.54,13938.64182971,2021-10-04,686415943.7706571
1633219200,47120.11,49300.0,47663.74,48233.99,7989.25925892,2021-10-03,385353851.2021547
1633132800,47451.0,48359.33,48165.76,47657.69,7262.63442143,2021-10-02,346120379.8398403
1633046400,43287.44,48500.0,43828.89,48165.76,20095.33155568,2021-10-01,967906916.8313096
1632960000,41409.67,44110.17,41519.11,43824.43,12835.9838101,2021-09-30,562529673.9668608
1632873600,40750.12,42638.99,41030.19,41522.16,10303.30152312,2021-09-29,427815334.3712324
1632787200,40897.7,42780.0,42166.31,41026.07,10491.81363045,2021-09-28,430437880.42979586
1632700800,42111.0,44366.96,43172.17,42171.76,10094.77099806,2021-09-27,425714259.7851468
1632614400,40803.0,43937.0,42705.51,43178.02,9971.64545213,2021-09-26,430555906.7649782
1632528000,41675.0,42998.76,42848.44,42705.51,7383.32390261,2021-09-25,315308612.7561504
1632441600,40683.29,45200.0,44896.55,42848.92,22451.57711462,2021-09-24,962025831.6581831
1632355200,43096.73,45000.0,43575.19,44897.59,13446.87468684,2021-09-23,603732266.4711206
1632268800,40570.42,44035.44,40736.81,43575.1,19462.53865157,2021-09-22,848082067.996028
1632182400,39600.0,43639.88,43007.69,40719.6,27275.33818249,2021-09-21,1110640860.6557198
1632096000,42500.0,47358.92,47253.71,43012.97,27706.67636162,2021-09-20,1191746439.1420703
1632009600,46850.87,48379.19,48309.86,47255.92,7086.34626236,2021-09-19,334871812.0663831
1631923200,47050.0,48825.62,47306.87,48314.56,7491.03449237,2021-09-18,361926035.4436799
1631836800,46752.67,48176.64,47753.15,47303.5,9088.56956453,2021-09-17,429921150.39574486
1631750400,47020.82,48499.99,48144.03,47753.16,11739.27966629,2021-09-16,560587700.189093
1631664000,46705.0,48475.0,47127.81,48148.12,12139.84206628,2021-09-15,584510572.5882974
1631577600,44679.92,47274.92,44953.23,47127.22,12644.16435358,2021-09-14,595884315.2073225
1631491200,43465.0,46900.0,46027.8,44947.72,15015.30289712,2021-09-13,674903630.3349386
1631404800,44754.31,46462.98,45173.66,46024.23,6499.85821749,2021-09-12,299150969.5691498
1631318400,44730.29,45989.94,44850.37,45171.83,6207.38337004,2021-09-11,280398866.33627397
1631232000,44140.48,47040.76,46396.26,44851.45,14905.54795341,2021-09-10,668535438.7549709
1631145600,45511.82,47400.0,46059.94,46400.0,13594.64633403,2021-09-09,630791589.898992
1631059200,44423.49,47381.47,46894.49,46060.36,19624.55093117,2021-09-08,903913880.7280254
1630972800,42830.77,52944.96,52698.8,46894.5,29022.815351,2021-09-07,1361010414.4774694
1630886400,51020.08,52802.03,51789.17,52698.81,9571.75471136,2021-09-06,504420082.90056545
1630800000,49500.0,51907.08,49944.89,51789.17,7743.93472308,2021-09-05,401051951.84249306
1630713600,49400.0,50558.75,50025.0,49942.98,7595.48816499,2021-09-04,379341313.5143323
1630627200,48349.66,51064.44,49279.38,50025.0,14577.22621879,2021-09-03,729225741.5949697
